Country.Code,Country.Name,Education.Level.PC1,Education.Level.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,IT_NET_USER_P2,SE_ADT_1524_LT_MA_ZS,SE_XPD_TOTL_GD_ZS,SG_VAW_BURN_ZS,SH_DYN_AIDS_ZS,SH_DYN_MORT,SH_MED_PHYS_ZS,SH_TBS_PREV,SH_XPD_PCAP,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,SN_ITK_DEFC_ZS,SP_POP_DPND,TM_TAX_MANF_SM_FN_ZS,UIS_EA_2_AG25T99,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,School.Years.PC1,School.Years.PC2,Edu.Literacy.PC1,Edu.Literacy.PC2,Pupils.Teacher.PC1,Pupils.Teacher.PC2,Cluster
PAN,Panama,-0.961028873322177,-0.960077904468624,90.87544,25.8,60.8394214,35,22.5,37.2,6.252390009,44.92,98.25523,3.29343,9.45344827586207,0.6,17,1.65,59,958.9817662,62.59999847,44.09999847,1837203,9.5,53.65574194,5.44,18.37954,16.62432,13.98376,10.87669,2.00731732280365,0.302039144363185,1.45522005599818,0.221773344853002,0.601292597133965,0.600560506753096,2
PER,Peru,0.438738274347717,-0.178204084182604,91.2,34.2,55.48117828,67,14.2,35.9,3.646103884,40.2,98.88648,3.657,1.1,0.4,16.9,1.132,158,358.5769444,73.09999847,19.5,16973529,7.5,53.50022502,3.56,6.08323,21.62195,21.64383,14.80908,0.461584422690559,0.795488229769646,1.52078557520122,0.217985935175384,-0.717452570506501,0.79751934891947,2
PHL,Philippines,0.187399010807628,-1.84365829878117,87.5,38.3,23.6813305,42,15.7,42.9,3.22093564,39.69,96.97661,2.65295,1.8,0.1,28,1.153,417,135.2022258,60.59999847,73.30000305,43807158,13.5,58.02809258,5.97,10.74767,38.96365,25.22192,21.27349,0.199436957366942,0.441590016793028,1.59064902971929,-1.3013835205902e-003,-2.55761963728722,0.853230288911517,2
PRY,Paraguay,-1.90534413223768,0.462133805720783,98.2,17.6,23.33701913,67,15,35,3.067801673,43,98.60174,4.96304,9.45344827586207,0.4,20.5,1.227,55,464.0923634,67.19999695,25.10000038,3202754,10.4,57.30387304,10.56,10.17235,19.10035,17.61386,18.8145219014085,-1.0370902709195,8.84440772652936e-003,1.6119778362637,0.129621219152933,-0.283065002407406,0.139600652607544,2
SAU,Saudi Arabia,-1.35879313487562,-2.36437768132801,97.69783,18,74.02676347,61,18.6212962962963,15,4.843094238,63.7,99.38161,5.13781,9.45344827586207,2.71460674157303,14.5,2.491,16,1147.445577,52.09999847,28.39999962,12134929,5,46.24036186,4.63,17.61828,10.55623,11.4165,20.27622,-1.33425875186869,2.12939817961546,1.53453765403312,0.23674705412558,0.900793944472026,-0.561981065069269,2
SLV,El Salvador,-1.81500277619126,0.33665083817358,93.7,28.9,33.1150929,61,14.5,38.7,4.014181998,29.7,97.48722,3.41749,9.45344827586207,0.5,16.8,1.596,49,279.6467283,58.40000153,13.69999981,2749893,12.4,55.29484812,5,13.2438,45.60774,29.08626,18.9254,-1.04554774896438,-0.190969223003816,0.969881959221588,-0.11275507492701,-3.32675198323974,1.45650202828846,2
SYR,Syrian Arab Republic,-3.01802825454477,0.911818597515595,96.26256,19.3,7.423981817,71,18.6212962962963,42.7,3.4,28.09,97.10737,5.13014,9.45344827586207,0.1,12.9,1.455,19,66.45497393,38.90000153,19.79999924,6104352,13.7244444444444,68.75956412,16.3,12.17072,16.64287,8.46774,52.38976,-3.65146151848451,0.609606847385305,0.657004043661454,6.81983649411743e-002,-0.537589676321098,-3.51465877764957,2
THA,Thailand,-2.3040469168757,0.847073408248811,100,25,111.9143573,37,39,27.5,4.490343081,34.89,98.30183,4.92835,9.45344827586207,1.1,12.3,0.393,236,360.3830032,71.5,19.5,40055849,7.4,38.99191814,8.84,11.15814,20.87792,17.82866,20.43101,-0.826751771484935,2.60788793814862,1.58203615252691,0.26657632830631,-0.495153505615833,4.93321819514533e-002,2
TON,Tonga,0.528289779822639,0.140646395059223,95.86256,39.4148148148148,27.21499849,42,7.8,30.1,4.08418031936923,40,99.35494,3.89872,9.45344827586207,2.71460674157303,16.7,0.563,21,212.9750355,58.8195803986713,36.7028846604423,42390,13.7244444444444,75.00248616,11.71,33.81472,15.26935,13.32036,5.1068,4.70648958012684,0.477268917387665,1.90442809991974,0.367896468623193,1.00417134376688,1.05758777638513,2
TTO,Trinidad and Tobago,8.41047959757986e-002,-1.35039480117116,99.8278,24.7,40.84317632,61,11,32.2,3.998805971,65.1,99.60181,3.156,0.7,2.71460674157303,20.4,1.175,23,1090.993283,61.5,63,686710,7.4,42.74800472,5.46,2.88088,13.49841,15.549878907563,9.73895,4.11185823297283,0.742554299916441,1.88539662129682,0.377341904233471,0.697502323904636,0.71164279168198,2
